Model,Accuracy,Precision,Recall,F1-score,AUC
Base Custom Gaussian NB,0.7487019730010385,0.42813455657492355,0.717948717948718,0.5363984674329502,0.8092965411324786
Improved Custom Gaussian NB,0.6806853582554517,0.3652694610778443,0.782051282051282,0.4979591836734694,0.799826388888889
