Model,Accuracy,Precision,Recall,F1-score,AUC
Base Custom NB,0.7487019730010385,0.42813455657492355,0.717948717948718,0.5363984674329502,0.8092965411324786
Improved Stable Custom NB,0.7170301142263759,0.39541160593792174,0.7512820512820513,0.5181255526083112,0.808880876068376
