Model,Accuracy,Precision,Recall,F1-score,AUC
Base Custom NB,0.7487019730010385,0.42813455657492355,0.717948717948718,0.5363984674329502,0.8092965411324786
Improved Custom NB,0.6526479750778816,0.3482045701849837,0.8205128205128205,0.4889228418640184,0.8120926816239316
