k_features,var_smoothing,threshold,Accuracy,Precision,Recall,F1-score,AUC,Score
4,1e-12,0.3,0.6934039087947883,0.6375519904931669,0.8824013157894737,0.7402552604346325,0.7930821572580645,0.7402552604346325
4,1e-12,0.31,0.6970684039087948,0.6430303030303031,0.8725328947368421,0.7404047452896024,0.7930821572580645,0.7404047452896024
4,1e-12,0.32,0.7011400651465798,0.6478527607361964,0.868421052631579,0.7420941672522839,0.7930821572580645,0.7420941672522839
4,1e-12,0.33,0.7039902280130294,0.6523364485981309,0.8610197368421053,0.7422899680964198,0.7930821572580645,0.7422899680964198
4,1e-12,0.34,0.7096905537459284,0.6609085092770314,0.8495065789473685,0.7434328895286075,0.7930821572580645,0.7434328895286075
4,1e-12,0.35000000000000003,0.7121335504885994,0.6657980456026059,0.8404605263157895,0.7430025445292621,0.7930821572580645,0.7430025445292621
4,1e-12,0.36000000000000004,0.7149837133550488,0.6713147410358565,0.8314144736842105,0.7428361498897869,0.7930821572580645,0.7428361498897869
4,1e-12,0.37000000000000005,0.7170195439739414,0.676132521974307,0.8223684210526315,0.7421150278293136,0.7930821572580645,0.7421150278293136
4,1e-12,0.38000000000000006,0.7206840390879479,0.6827586206896552,0.8141447368421053,0.7426856714178545,0.7930821572580645,0.7426856714178545
4,1e-12,0.39000000000000007,0.7243485342019544,0.6896551724137931,0.805921052631579,0.7432688661357604,0.7930821572580645,0.7432688661357604
4,1e-12,0.4000000000000001,0.7251628664495114,0.6925266903914591,0.8001644736842105,0.7424647081266692,0.7930821572580645,0.7424647081266692
4,1e-12,0.4100000000000001,0.7235342019543974,0.6938628158844765,0.790296052631579,0.7389465590157632,0.7930821572580645,0.7389465590157632
4,1e-12,0.4200000000000001,0.7251628664495114,0.6996309963099631,0.7796052631578947,0.737456242707118,0.7930821572580645,0.737456242707118
4,1e-12,0.4300000000000001,0.7251628664495114,0.70201643017177,0.7730263157894737,0.735812133072407,0.7930821572580645,0.735812133072407
4,1e-12,0.4400000000000001,0.7259771986970684,0.7052154195011338,0.7672697368421053,0.7349350137849547,0.7930821572580645,0.7349350137849547
4,1e-12,0.4500000000000001,0.7267915309446255,0.7104247104247104,0.756578947368421,0.7327757865392274,0.7930821572580645,0.7327757865392274
4,1e-12,0.46000000000000013,0.7271986970684039,0.7142857142857143,0.7483552631578947,0.7309236947791165,0.7930821572580645,0.7309236947791165
4,1e-12,0.47000000000000014,0.7284201954397395,0.7190742218675179,0.740953947368421,0.7298501417577966,0.7930821572580645,0.7298501417577966
4,1e-12,0.48000000000000015,0.7312703583061889,0.7274959083469722,0.7310855263157895,0.7292863002461033,0.7930821572580645,0.7292863002461033
4,1e-12,0.49000000000000016,0.7312703583061889,0.7305140961857379,0.7245065789473685,0.7274979355904211,0.7930821572580645,0.7274979355904211
4,1e-12,0.5000000000000002,0.7333061889250815,0.7383177570093458,0.7146381578947368,0.7262849979105724,0.7930821572580645,0.7262849979105724
4,1e-12,0.5100000000000002,0.7304560260586319,0.7396193771626297,0.703125,0.7209106239460371,0.7930821572580645,0.7209106239460371
4,1e-12,0.5200000000000002,0.7320846905537459,0.7473404255319149,0.6932565789473685,0.7192832764505119,0.7930821572580645,0.7192832764505119
