Threshold,Accuracy,Precision,Recall,F1-score,AUC
0.3,0.671858774662513,0.3684782608695652,0.8692307692307693,0.517557251908397,0.857674779647436
0.31,0.6791277258566978,0.3724832214765101,0.8538461538461538,0.5186915887850467,0.857674779647436
0.32,0.6931464174454829,0.38354577056778677,0.8487179487179487,0.5283320031923384,0.857674779647436
0.33,0.7040498442367601,0.39285714285714285,0.8461538461538461,0.5365853658536586,0.857674779647436
0.34,0.7102803738317757,0.39805825242718446,0.841025641025641,0.5403624382207578,0.857674779647436
0.35000000000000003,0.7191069574247144,0.4050314465408805,0.8256410256410256,0.5434599156118144,0.857674779647436
0.36000000000000004,0.7289719626168224,0.4142857142857143,0.8179487179487179,0.55,0.857674779647436
0.37000000000000005,0.7445482866043613,0.4305177111716621,0.8102564102564103,0.5622775800711743,0.857674779647436
0.38000000000000006,0.754932502596054,0.4422535211267606,0.8051282051282052,0.5709090909090909,0.857674779647436
0.39000000000000007,0.770508826583593,0.46130952380952384,0.7948717948717948,0.583804143126177,0.857674779647436
0.4000000000000001,0.7814122533748702,0.4760432766615147,0.7897435897435897,0.5940212150433944,0.857674779647436
0.4100000000000001,0.7855659397715472,0.48183254344391785,0.782051282051282,0.5962854349951124,0.857674779647436
0.4200000000000001,0.7881619937694704,0.48534201954397393,0.764102564102564,0.5936254980079682,0.857674779647436
0.4300000000000001,0.794392523364486,0.495,0.7615384615384615,0.6,0.857674779647436
0.4400000000000001,0.7985462097611631,0.5017006802721088,0.7564102564102564,0.6032719836400818,0.857674779647436
0.4500000000000001,0.8026998961578401,0.5086805555555556,0.7512820512820513,0.6066252587991718,0.857674779647436
0.46000000000000013,0.8021806853582555,0.5080213903743316,0.7307692307692307,0.5993690851735016,0.857674779647436
0.47000000000000014,0.8047767393561787,0.5126353790613718,0.7282051282051282,0.6016949152542372,0.857674779647436
0.48000000000000015,0.8136033229491173,0.5289719626168224,0.7256410256410256,0.6118918918918919,0.857674779647436
0.49000000000000016,0.8151609553478713,0.5325670498084292,0.7128205128205128,0.6096491228070176,0.857674779647436
0.5000000000000002,0.8177570093457944,0.538160469667319,0.7051282051282052,0.6104328523862376,0.857674779647436
0.5100000000000002,0.82398753894081,0.5517241379310345,0.6974358974358974,0.6160815402038505,0.857674779647436
0.5200000000000002,0.8276220145379024,0.5606694560669456,0.6871794871794872,0.6175115207373272,0.857674779647436
0.5300000000000002,0.833852544132918,0.5760869565217391,0.6794871794871795,0.6235294117647059,0.857674779647436
0.5400000000000003,0.8348909657320872,0.579295154185022,0.6743589743589744,0.6232227488151659,0.857674779647436
0.5500000000000003,0.8400830737279336,0.5927601809954751,0.6717948717948717,0.6298076923076923,0.857674779647436
0.5600000000000003,0.843717549325026,0.6037296037296037,0.6641025641025641,0.6324786324786325,0.857674779647436
0.5700000000000003,0.847871235721703,0.6163069544364509,0.658974358974359,0.6369268897149938,0.857674779647436
0.5800000000000003,0.8509865005192108,0.6253041362530414,0.658974358974359,0.6416978776529338,0.857674779647436
0.5900000000000003,0.8504672897196262,0.628140703517588,0.6410256410256411,0.6345177664974619,0.857674779647436
0.6000000000000003,0.8546209761163032,0.6424870466321243,0.6358974358974359,0.6391752577319587,0.857674779647436
0.6100000000000003,0.8530633437175493,0.6411609498680739,0.6230769230769231,0.6319895968790638,0.857674779647436
0.6200000000000003,0.8530633437175493,0.6449864498644986,0.6102564102564103,0.6271409749670619,0.857674779647436
0.6300000000000003,0.8530633437175493,0.6481994459833795,0.6,0.6231691078561917,0.857674779647436
0.6400000000000003,0.857736240913811,0.6686046511627907,0.5897435897435898,0.6267029972752044,0.857674779647436
0.6500000000000004,0.8603322949117341,0.6838905775075987,0.5769230769230769,0.6258692628650904,0.857674779647436
0.6600000000000004,0.8629283489096573,0.6993670886075949,0.5666666666666667,0.6260623229461756,0.857674779647436
0.6700000000000004,0.8650051921079959,0.7181208053691275,0.5487179487179488,0.622093023255814,0.857674779647436
0.6800000000000004,0.8644859813084113,0.7231833910034602,0.5358974358974359,0.6156111929307806,0.857674779647436
0.6900000000000004,0.8634475597092419,0.7259786476868327,0.5230769230769231,0.6080476900149031,0.857674779647436
0.7000000000000004,0.8624091381100727,0.7289377289377289,0.5102564102564102,0.6003016591251885,0.857674779647436
