k_features,var_smoothing,threshold,Accuracy,Precision,Recall,F1-score,AUC,Score
8,1e-06,0.45,0.7528501628664495,0.7426294820717132,0.7664473684210527,0.754350465398624,0.8267508488964347,0.7606107517767349
8,1e-06,0.46,0.7536644951140065,0.7465698143664246,0.7606907894736842,0.7535641547861508,0.8267508488964347,0.7605830534147207
8,1e-06,0.47000000000000003,0.7536644951140065,0.751440329218107,0.7508223684210527,0.751131221719457,0.8267508488964347,0.7594686599604891
8,1e-06,0.48000000000000004,0.754885993485342,0.7571189279731994,0.743421052631579,0.7502074688796682,0.8267508488964347,0.7596296936445398
8,1e-06,0.49000000000000005,0.7536644951140065,0.7608881298035867,0.7327302631578947,0.7465437788018434,0.8267508488964347,0.7574975435587078
8,1e-06,0.5,0.755700325732899,0.768760907504363,0.7245065789473685,0.7459779847586792,0.8267508488964347,0.7583078471421608
8,1e-06,0.51,0.753257328990228,0.7708703374777975,0.7138157894736842,0.7412467976088813,0.8267508488964347,0.7552104189055443
8,1e-06,0.52,0.7520358306188925,0.7741644083107497,0.7047697368421053,0.7378390012914334,0.8267508488964347,0.7532939265866353
8,1e-06,0.53,0.7528501628664495,0.7785910338517841,0.6998355263157895,0.7371156344737982,0.8267508488964347,0.753502578085753
8,1e-06,0.54,0.7520358306188925,0.7818012999071495,0.6924342105263158,0.7344090710859137,0.8267508488964347,0.7521134934071669
8,1e-06,0.55,0.750814332247557,0.7843691148775894,0.6850328947368421,0.7313432835820896,0.8267508488964347,0.7503839626454771
8,1e-06,0.56,0.75,0.7905405405405406,0.6735197368421053,0.7273534635879219,0.8267508488964347,0.7486495194210478
8,1e-06,0.5700000000000001,0.7520358306188925,0.8001978239366964,0.665296052631579,0.7265379434216435,0.8267508488964347,0.7497542926127981
8,1e-06,0.5800000000000001,0.7512214983713354,0.8071065989847716,0.6537828947368421,0.7223989095865516,0.8267508488964347,0.7481300158051626
8,1e-06,0.5900000000000001,0.747557003257329,0.8084886128364389,0.6422697368421053,0.7158570119156737,0.8267508488964347,0.7439446219393642
8,1e-06,0.6000000000000001,0.7471498371335505,0.8128286014721346,0.6356907894736842,0.7134287032764189,0.8267508488964347,0.7430965505642929
8,1e-06,0.6100000000000001,0.7438925081433225,0.8152524167561761,0.6241776315789473,0.7070330693991617,0.8267508488964347,0.739278232770508
8,1e-06,0.6200000000000001,0.7381921824104235,0.8165745856353591,0.6077302631578947,0.6968411126826969,0.8267508488964347,0.7328174743842008
8,1e-06,0.6300000000000001,0.7381921824104235,0.8215488215488216,0.6019736842105263,0.6948267679164689,0.8267508488964347,0.732445248533231
8,1e-06,0.6400000000000001,0.7373778501628665,0.8248009101251422,0.5962171052631579,0.6921241050119331,0.8267508488964347,0.7313122140059889
8,1e-06,0.6500000000000001,0.7353420195439739,0.8283062645011601,0.587171052631579,0.687199230028874,0.8267508488964347,0.7288144090550229
8,1e-06,0.6600000000000001,0.7345276872964169,0.8333333333333334,0.5797697368421053,0.6838021338506305,0.8267508488964347,0.7276160517342087
8,1e-06,0.6700000000000002,0.7320846905537459,0.8369565217391305,0.5699013157894737,0.6780821917808219,0.8267508488964347,0.7246975417172199
8,1e-06,0.6800000000000002,0.7284201954397395,0.8409937888198757,0.5567434210526315,0.6699653636813458,0.8267508488964347,0.7204027553637717
8,1e-06,0.6900000000000002,0.7219055374592834,0.846553966189857,0.5353618421052632,0.655919395465995,0.8267508488964347,0.7128416645476882
8,1e-06,0.7000000000000002,0.7162052117263844,0.8455392809587217,0.522203947368421,0.6456532791052364,0.8267508488964347,0.7063884164808754
8,1e-05,0.45,0.7528501628664495,0.7426294820717132,0.7664473684210527,0.754350465398624,0.8267508488964347,0.7606107517767349
8,1e-05,0.46,0.7536644951140065,0.7465698143664246,0.7606907894736842,0.7535641547861508,0.8267508488964347,0.7605830534147207
8,1e-05,0.47000000000000003,0.7536644951140065,0.751440329218107,0.7508223684210527,0.751131221719457,0.8267508488964347,0.7594686599604891
8,1e-05,0.48000000000000004,0.754885993485342,0.7571189279731994,0.743421052631579,0.7502074688796682,0.8267508488964347,0.7596296936445398
8,1e-05,0.49000000000000005,0.7536644951140065,0.7608881298035867,0.7327302631578947,0.7465437788018434,0.8267508488964347,0.7574975435587078
8,1e-05,0.5,0.755700325732899,0.768760907504363,0.7245065789473685,0.7459779847586792,0.8267508488964347,0.7583078471421608
8,1e-05,0.51,0.753257328990228,0.7708703374777975,0.7138157894736842,0.7412467976088813,0.8267508488964347,0.7552104189055443
8,1e-05,0.52,0.7520358306188925,0.7741644083107497,0.7047697368421053,0.7378390012914334,0.8267508488964347,0.7532939265866353
8,1e-05,0.53,0.7528501628664495,0.7785910338517841,0.6998355263157895,0.7371156344737982,0.8267508488964347,0.753502578085753
8,1e-05,0.54,0.7520358306188925,0.7818012999071495,0.6924342105263158,0.7344090710859137,0.8267508488964347,0.7521134934071669
8,1e-05,0.55,0.750814332247557,0.7843691148775894,0.6850328947368421,0.7313432835820896,0.8267508488964347,0.7503839626454771
8,1e-05,0.56,0.75,0.7905405405405406,0.6735197368421053,0.7273534635879219,0.8267508488964347,0.7486495194210478
8,1e-05,0.5700000000000001,0.7520358306188925,0.8001978239366964,0.665296052631579,0.7265379434216435,0.8267508488964347,0.7497542926127981
8,1e-05,0.5800000000000001,0.7512214983713354,0.8071065989847716,0.6537828947368421,0.7223989095865516,0.8267508488964347,0.7481300158051626
8,1e-05,0.5900000000000001,0.747557003257329,0.8084886128364389,0.6422697368421053,0.7158570119156737,0.8267508488964347,0.7439446219393642
8,1e-05,0.6000000000000001,0.7471498371335505,0.8128286014721346,0.6356907894736842,0.7134287032764189,0.8267508488964347,0.7430965505642929
8,1e-05,0.6100000000000001,0.7438925081433225,0.8152524167561761,0.6241776315789473,0.7070330693991617,0.8267508488964347,0.739278232770508
8,1e-05,0.6200000000000001,0.7381921824104235,0.8165745856353591,0.6077302631578947,0.6968411126826969,0.8267508488964347,0.7328174743842008
8,1e-05,0.6300000000000001,0.7381921824104235,0.8215488215488216,0.6019736842105263,0.6948267679164689,0.8267508488964347,0.732445248533231
8,1e-05,0.6400000000000001,0.7373778501628665,0.8248009101251422,0.5962171052631579,0.6921241050119331,0.8267508488964347,0.7313122140059889
